"TournamentName","TournamentLink"
"SSK Supersixers League","https://cricheroes.in/tournament/276870/SSK-Supersixers-League"
"Baresi Cricket Tournament","https://cricheroes.in/tournament/227159/Baresi-Cricket-Tournament"
"BEAST CRICKET LEAGUE","https://cricheroes.in/tournament/282919/BEAST-CRICKET-LEAGUE"
"Ismaili Premiere League 2","https://cricheroes.in/tournament/311662/Ismaili-Premiere-League-2"
"Rising Cricket League Season 1","https://cricheroes.in/tournament/289006/Rising-Cricket-League-Season-1"
"RMGB PREMIER LEAGUE - SEASON 2","https://cricheroes.in/tournament/307326/RMGB-PREMIER-LEAGUE---SEASON-2"
"Speciality Premier League 8","https://cricheroes.in/tournament/310028/Speciality-Premier-League-8"
"USM TURF CRICKET TOURNAMENT SEASON 5.0","https://cricheroes.in/tournament/298222/USM-TURF-CRICKET-TOURNAMENT-SEASON-5.0"
"YHC-T20 SEASON 4","https://cricheroes.in/tournament/297597/YHC-T20-SEASON-4"
"Melbourne Tuskers- Neuroaxis Champions Trophy 2021","https://cricheroes.in/tournament/252456/Melbourne-Tuskers--Neuroaxis-Champions-Trophy-2021"
"APL - SEASON 10","https://cricheroes.in/tournament/289619/APL---SEASON-10"
"*GARDEN LIGHTS trading.Est* presents WP super league - 2021","https://cricheroes.in/tournament/296544/*GARDEN-LIGHTS-trading.Est*-presents-WP-super-league---2021"
"GUTS N GLORY CORPORATE LEAGUE 2021 EDITION-5 (DIAMOND & GOLD CUP)","https://cricheroes.in/tournament/284805/GUTS-N-GLORY-CORPORATE-LEAGUE-2021-EDITION-5-(DIAMOND-&-GOLD-CUP)"
"VETERAN Josh Cup Cricket league 2021","https://cricheroes.in/tournament/281565/VETERAN-Josh-Cup-Cricket-league-2021"
"BALAJEE CRICKET LEAGUE 2021","https://cricheroes.in/tournament/312874/BALAJEE-CRICKET-LEAGUE-2021"
"JAIN BIG BASH LEAGUE (JBBL)","https://cricheroes.in/tournament/308431/JAIN-BIG-BASH-LEAGUE-(JBBL)"
"Aamdar Chashak, Hannur","https://cricheroes.in/tournament/303278/Aamdar-Chashak,-Hannur"
"CIRC CRICKET BASH 2021","https://cricheroes.in/tournament/295875/CIRC-CRICKET-BASH-2021"
"Maheshwari Premier League 4","https://cricheroes.in/tournament/310150/Maheshwari-Premier-League-4"
"ARWA CUP 2021","https://cricheroes.in/tournament/308256/ARWA-CUP-2021"
"BOX CRICKET LEAGUE SEASON-6","https://cricheroes.in/tournament/303354/BOX-CRICKET-LEAGUE-SEASON-6"
"EPL - Season 3","https://cricheroes.in/tournament/294143/EPL---Season-3"
"RCC (Rajeshwar Cricket Club) 2021","https://cricheroes.in/tournament/287336/RCC-(Rajeshwar-Cricket-Club)-2021"
"Shree Stambhtirth Premier league (SPL 4)","https://cricheroes.in/tournament/299923/Shree-Stambhtirth-Premier-league-(SPL-4)"
"SSK Supersixers League","https://cricheroes.in/tournament/276870/SSK-Supersixers-League"
"Baresi Cricket Tournament","https://cricheroes.in/tournament/227159/Baresi-Cricket-Tournament"
"BEAST CRICKET LEAGUE","https://cricheroes.in/tournament/282919/BEAST-CRICKET-LEAGUE"
"Ismaili Premiere League 2","https://cricheroes.in/tournament/311662/Ismaili-Premiere-League-2"
"Rising Cricket League Season 1","https://cricheroes.in/tournament/289006/Rising-Cricket-League-Season-1"
"RMGB PREMIER LEAGUE - SEASON 2","https://cricheroes.in/tournament/307326/RMGB-PREMIER-LEAGUE---SEASON-2"
"Speciality Premier League 8","https://cricheroes.in/tournament/310028/Speciality-Premier-League-8"
"USM TURF CRICKET TOURNAMENT SEASON 5.0","https://cricheroes.in/tournament/298222/USM-TURF-CRICKET-TOURNAMENT-SEASON-5.0"
"YHC-T20 SEASON 4","https://cricheroes.in/tournament/297597/YHC-T20-SEASON-4"
"Melbourne Tuskers- Neuroaxis Champions Trophy 2021","https://cricheroes.in/tournament/252456/Melbourne-Tuskers--Neuroaxis-Champions-Trophy-2021"
"APL - SEASON 10","https://cricheroes.in/tournament/289619/APL---SEASON-10"
"*GARDEN LIGHTS trading.Est* presents WP super league - 2021","https://cricheroes.in/tournament/296544/*GARDEN-LIGHTS-trading.Est*-presents-WP-super-league---2021"
"GUTS N GLORY CORPORATE LEAGUE 2021 EDITION-5 (DIAMOND & GOLD CUP)","https://cricheroes.in/tournament/284805/GUTS-N-GLORY-CORPORATE-LEAGUE-2021-EDITION-5-(DIAMOND-&-GOLD-CUP)"
"VETERAN Josh Cup Cricket league 2021","https://cricheroes.in/tournament/281565/VETERAN-Josh-Cup-Cricket-league-2021"
"BALAJEE CRICKET LEAGUE 2021","https://cricheroes.in/tournament/312874/BALAJEE-CRICKET-LEAGUE-2021"
"JAIN BIG BASH LEAGUE (JBBL)","https://cricheroes.in/tournament/308431/JAIN-BIG-BASH-LEAGUE-(JBBL)"
"Aamdar Chashak, Hannur","https://cricheroes.in/tournament/303278/Aamdar-Chashak,-Hannur"
"CIRC CRICKET BASH 2021","https://cricheroes.in/tournament/295875/CIRC-CRICKET-BASH-2021"
"Maheshwari Premier League 4","https://cricheroes.in/tournament/310150/Maheshwari-Premier-League-4"
"ARWA CUP 2021","https://cricheroes.in/tournament/308256/ARWA-CUP-2021"
"BOX CRICKET LEAGUE SEASON-6","https://cricheroes.in/tournament/303354/BOX-CRICKET-LEAGUE-SEASON-6"
"EPL - Season 3","https://cricheroes.in/tournament/294143/EPL---Season-3"
"RCC (Rajeshwar Cricket Club) 2021","https://cricheroes.in/tournament/287336/RCC-(Rajeshwar-Cricket-Club)-2021"
"Shree Stambhtirth Premier league (SPL 4)","https://cricheroes.in/tournament/299923/Shree-Stambhtirth-Premier-league-(SPL-4)"
"GUTS N GLORY CORPORATE LEAGUE 2021 EDITION-5 (DIAMOND & GOLD CUP)","https://cricheroes.in/tournament/284805/GUTS-N-GLORY-CORPORATE-LEAGUE-2021-EDITION-5-(DIAMOND-&-GOLD-CUP)"
"VETERAN Josh Cup Cricket league 2021","https://cricheroes.in/tournament/281565/VETERAN-Josh-Cup-Cricket-league-2021"
"BALAJEE CRICKET LEAGUE 2021","https://cricheroes.in/tournament/312874/BALAJEE-CRICKET-LEAGUE-2021"
"JAIN BIG BASH LEAGUE (JBBL)","https://cricheroes.in/tournament/308431/JAIN-BIG-BASH-LEAGUE-(JBBL)"
"Aamdar Chashak, Hannur","https://cricheroes.in/tournament/303278/Aamdar-Chashak,-Hannur"
"CIRC CRICKET BASH 2021","https://cricheroes.in/tournament/295875/CIRC-CRICKET-BASH-2021"
"Maheshwari Premier League 4","https://cricheroes.in/tournament/310150/Maheshwari-Premier-League-4"
"ARWA CUP 2021","https://cricheroes.in/tournament/308256/ARWA-CUP-2021"
"BOX CRICKET LEAGUE SEASON-6","https://cricheroes.in/tournament/303354/BOX-CRICKET-LEAGUE-SEASON-6"
"EPL - Season 3","https://cricheroes.in/tournament/294143/EPL---Season-3"
"RCC (Rajeshwar Cricket Club) 2021","https://cricheroes.in/tournament/287336/RCC-(Rajeshwar-Cricket-Club)-2021"
"Shree Stambhtirth Premier league (SPL 4)","https://cricheroes.in/tournament/299923/Shree-Stambhtirth-Premier-league-(SPL-4)"
"New Gurgaon Premier League Leather Tournament Season-1","https://cricheroes.in/tournament/225491/New-Gurgaon-Premier-League-Leather-Tournament-Season-1"
"Premiere League 2021","https://cricheroes.in/tournament/284383/Premiere-League-2021"
"The Viswa Indoor Cup 2021","https://cricheroes.in/tournament/287882/The-Viswa-Indoor-Cup-2021"
"2021 QCF Premier Division","https://cricheroes.in/tournament/260336/2021-QCF-Premier-Division"
"BSC Premier League","https://cricheroes.in/tournament/266139/BSC-Premier-League"
"Cricket Freaks T20 Blast","https://cricheroes.in/tournament/221679/Cricket-Freaks-T20-Blast"
"Lakshya Road Safety U15 Cricket Tournament 2021","https://cricheroes.in/tournament/251039/Lakshya-Road-Safety-U15-Cricket-Tournament-2021"
"MCL T10 Mohallah Cricket League","https://cricheroes.in/tournament/292263/MCL-T10-Mohallah-Cricket-League"
"SGCC T-20 CUP EDITION-II 2021","https://cricheroes.in/tournament/303666/SGCC-T-20-CUP-EDITION-II-2021"
"SPL (Sportsvilla Premier League)","https://cricheroes.in/tournament/289389/SPL-(Sportsvilla-Premier-League)"
"T-12 Ahmedabad Corporate Cup","https://cricheroes.in/tournament/293230/T-12-Ahmedabad-Corporate-Cup"
"Hundred","https://cricheroes.in/tournament/295946/Hundred"
"New Gurgaon Premier League Leather Tournament Season-1","https://cricheroes.in/tournament/225491/New-Gurgaon-Premier-League-Leather-Tournament-Season-1"
"Premiere League 2021","https://cricheroes.in/tournament/284383/Premiere-League-2021"
"The Viswa Indoor Cup 2021","https://cricheroes.in/tournament/287882/The-Viswa-Indoor-Cup-2021"
"2021 QCF Premier Division","https://cricheroes.in/tournament/260336/2021-QCF-Premier-Division"
"BSC Premier League","https://cricheroes.in/tournament/266139/BSC-Premier-League"
"Cricket Freaks T20 Blast","https://cricheroes.in/tournament/221679/Cricket-Freaks-T20-Blast"
"Lakshya Road Safety U15 Cricket Tournament 2021","https://cricheroes.in/tournament/251039/Lakshya-Road-Safety-U15-Cricket-Tournament-2021"
"MCL T10 Mohallah Cricket League","https://cricheroes.in/tournament/292263/MCL-T10-Mohallah-Cricket-League"
"SGCC T-20 CUP EDITION-II 2021","https://cricheroes.in/tournament/303666/SGCC-T-20-CUP-EDITION-II-2021"
"SPL (Sportsvilla Premier League)","https://cricheroes.in/tournament/289389/SPL-(Sportsvilla-Premier-League)"
"T-12 Ahmedabad Corporate Cup","https://cricheroes.in/tournament/293230/T-12-Ahmedabad-Corporate-Cup"
"Hundred","https://cricheroes.in/tournament/295946/Hundred"
"High Potential Cricket League- Season 3","https://cricheroes.in/tournament/288856/High-Potential-Cricket-League--Season-3"
"Tyrant Cricket Premier League Season 3","https://cricheroes.in/tournament/294367/Tyrant-Cricket-Premier-League-Season-3"
"BCL BALRAMPUR CRICKET LEAGUE 2021 S -1","https://cricheroes.in/tournament/292242/BCL-BALRAMPUR-CRICKET-LEAGUE-2021-S--1"
"CPL Season-2 2021","https://cricheroes.in/tournament/298821/CPL-Season-2-2021"
"JSG Platinum Youth Family Box Cricket","https://cricheroes.in/tournament/301557/JSG-Platinum-Youth-Family-Box-Cricket"
"PHOTOGRAFAR PRIMIER LEAGUE","https://cricheroes.in/tournament/301188/PHOTOGRAFAR--PRIMIER--LEAGUE"
"Superb 6 Championship","https://cricheroes.in/tournament/290293/Superb-6-Championship"
"Vrindavan Furniture Cup","https://cricheroes.in/tournament/274917/Vrindavan-Furniture-Cup"
"SGCC T-20 CUP","https://cricheroes.in/tournament/301013/SGCC-T-20-CUP"
"United Premier League Season 2","https://cricheroes.in/tournament/292679/United-Premier-League-Season-2"
"NARASARAOPET PREMIER LEAGUE T-10","https://cricheroes.in/tournament/291190/NARASARAOPET-PREMIER-LEAGUE-T-10"
"WBCC 29th TOURNAMENT OCT 21","https://cricheroes.in/tournament/270150/WBCC-29th-TOURNAMENT-OCT-21"
"High Potential Cricket League- Season 3","https://cricheroes.in/tournament/288856/High-Potential-Cricket-League--Season-3"
"Tyrant Cricket Premier League Season 3","https://cricheroes.in/tournament/294367/Tyrant-Cricket-Premier-League-Season-3"
"BCL BALRAMPUR CRICKET LEAGUE 2021 S -1","https://cricheroes.in/tournament/292242/BCL-BALRAMPUR-CRICKET-LEAGUE-2021-S--1"
"CPL Season-2 2021","https://cricheroes.in/tournament/298821/CPL-Season-2-2021"
"JSG Platinum Youth Family Box Cricket","https://cricheroes.in/tournament/301557/JSG-Platinum-Youth-Family-Box-Cricket"
"PHOTOGRAFAR PRIMIER LEAGUE","https://cricheroes.in/tournament/301188/PHOTOGRAFAR--PRIMIER--LEAGUE"
"Superb 6 Championship","https://cricheroes.in/tournament/290293/Superb-6-Championship"
"Vrindavan Furniture Cup","https://cricheroes.in/tournament/274917/Vrindavan-Furniture-Cup"
"SGCC T-20 CUP","https://cricheroes.in/tournament/301013/SGCC-T-20-CUP"
"United Premier League Season 2","https://cricheroes.in/tournament/292679/United-Premier-League-Season-2"
"NARASARAOPET PREMIER LEAGUE T-10","https://cricheroes.in/tournament/291190/NARASARAOPET-PREMIER-LEAGUE-T-10"
"WBCC 29th TOURNAMENT OCT 21","https://cricheroes.in/tournament/270150/WBCC-29th-TOURNAMENT-OCT-21"
"High Potential Cricket League- Season 3","https://cricheroes.in/tournament/288856/High-Potential-Cricket-League--Season-3"
"Tyrant Cricket Premier League Season 3","https://cricheroes.in/tournament/294367/Tyrant-Cricket-Premier-League-Season-3"
